ObservationDate;Confirmed
02/18/2020;3.0
02/18/2020;3.0
02/18/2020;3.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;2.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/18/2020;1.0
02/19/2020;62031.0
02/19/2020;1331.0
02/19/2020;1262.0
02/19/2020;1174.0
02/19/2020;1008.0
02/19/2020;986.0
02/19/2020;934.0
02/19/2020;631.0
02/19/2020;621.0
02/19/2020;560.0
02/19/2020;544.0
02/19/2020;514.0
02/19/2020;470.0
02/19/2020;393.0
02/19/2020;333.0
02/19/2020;306.0
02/19/2020;293.0
02/19/2020;244.0
02/19/2020;242.0
02/19/2020;172.0
02/19/2020;168.0
02/19/2020;146.0
02/19/2020;131.0
02/19/2020;130.0
02/19/2020;121.0
02/19/2020;91.0
02/19/2020;90.0
02/19/2020;84.0
02/19/2020;84.0
02/19/2020;76.0
02/19/2020;75.0
02/19/2020;71.0
02/19/2020;63.0
02/19/2020;35.0
02/19/2020;31.0
02/19/2020;23.0
02/19/2020;22.0
02/19/2020;18.0
02/19/2020;16.0
02/19/2020;16.0
02/19/2020;12.0
02/19/2020;10.0
02/19/2020;9.0
02/19/2020;9.0
02/19/2020;5.0
02/19/2020;5.0
02/19/2020;4.0
02/19/2020;4.0
02/19/2020;3.0
02/19/2020;3.0
02/19/2020;3.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;2.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/19/2020;1.0
02/20/2020;62442.0
02/20/2020;1332.0
02/20/2020;1265.0
02/20/2020;1175.0
02/20/2020;1010.0
02/20/2020;987.0
02/20/2020;934.0
02/20/2020;634.0
02/20/2020;631.0
02/20/2020;567.0
02/20/2020;546.0
02/20/2020;520.0
02/20/2020;476.0
02/20/2020;395.0
02/20/2020;334.0
02/20/2020;307.0
02/20/2020;293.0
02/20/2020;245.0
02/20/2020;245.0
02/20/2020;174.0
02/20/2020;168.0
02/20/2020;146.0
02/20/2020;132.0
02/20/2020;131.0
02/20/2020;121.0
02/20/2020;104.0
02/20/2020;94.0
02/20/2020;91.0
02/20/2020;91.0
02/20/2020;84.0
02/20/2020;76.0
02/20/2020;75.0
02/20/2020;71.0
02/20/2020;68.0
02/20/2020;35.0
02/20/2020;24.0
02/20/2020;22.0
02/20/2020;18.0
02/20/2020;16.0
02/20/2020;16.0
02/20/2020;12.0
02/20/2020;10.0
02/20/2020;9.0
02/20/2020;9.0
02/20/2020;5.0
02/20/2020;5.0
02/20/2020;5.0
02/20/2020;4.0
02/20/2020;4.0
02/20/2020;3.0
02/20/2020;3.0
02/20/2020;3.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;2.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/20/2020;1.0
02/21/2020;62662.0
02/21/2020;1333.0
02/21/2020;1267.0
02/21/2020;1203.0
02/21/2020;1011.0
02/21/2020;988.0
02/21/2020;934.0
02/21/2020;749.0
02/21/2020;634.0
02/21/2020;631.0
02/21/2020;572.0
02/21/2020;525.0
02/21/2020;479.0
02/21/2020;396.0
02/21/2020;334.0
02/21/2020;308.0
02/21/2020;293.0
02/21/2020;246.0
02/21/2020;245.0
02/21/2020;204.0
02/21/2020;174.0
02/21/2020;168.0
02/21/2020;146.0
02/21/2020;132.0
02/21/2020;132.0
02/21/2020;121.0
02/21/2020;105.0
02/21/2020;91.0
02/21/2020;91.0
02/21/2020;85.0
02/21/2020;76.0
02/21/2020;75.0
02/21/2020;71.0
02/21/2020;68.0
02/21/2020;35.0
02/21/2020;26.0
02/21/2020;22.0
02/21/2020;20.0
02/21/2020;18.0
02/21/2020;18.0
02/21/2020;16.0
02/21/2020;16.0
02/21/2020;12.0
02/21/2020;11.0
02/21/2020;10.0
02/21/2020;9.0
02/21/2020;9.0
02/21/2020;6.0
02/21/2020;5.0
02/21/2020;5.0
02/21/2020;4.0
02/21/2020;4.0
02/21/2020;4.0
02/21/2020;3.0
02/21/2020;3.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;2.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/21/2020;1.0
02/22/2020;64084.0
02/22/2020;1339.0
02/22/2020;1270.0
02/22/2020;1205.0
02/22/2020;1013.0
02/22/2020;989.0
02/22/2020;934.0
02/22/2020;750.0
02/22/2020;634.0
02/22/2020;631.0
02/22/2020;573.0
02/22/2020;526.0
02/22/2020;479.0
02/22/2020;433.0
02/22/2020;399.0
02/22/2020;335.0
02/22/2020;309.0
02/22/2020;293.0
02/22/2020;249.0
02/22/2020;245.0
02/22/2020;174.0
02/22/2020;168.0
02/22/2020;146.0
02/22/2020;135.0
02/22/2020;132.0
02/22/2020;122.0
02/22/2020;121.0
02/22/2020;91.0
02/22/2020;91.0
02/22/2020;85.0
02/22/2020;76.0
02/22/2020;75.0
02/22/2020;71.0
02/22/2020;69.0
02/22/2020;62.0
02/22/2020;35.0
02/22/2020;28.0
02/22/2020;26.0
02/22/2020;22.0
02/22/2020;18.0
02/22/2020;16.0
02/22/2020;16.0
02/22/2020;13.0
02/22/2020;12.0
02/22/2020;11.0
02/22/2020;10.0
02/22/2020;9.0
02/22/2020;7.0
02/22/2020;6.0
02/22/2020;5.0
02/22/2020;5.0
02/22/2020;4.0
02/22/2020;4.0
02/22/2020;3.0
02/22/2020;3.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;2.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/22/2020;1.0
02/23/2020;64084.0
02/23/2020;1342.0
02/23/2020;1271.0
02/23/2020;1205.0
02/23/2020;1016.0
02/23/2020;989.0
02/23/2020;934.0
02/23/2020;754.0
02/23/2020;691.0
02/23/2020;631.0
02/23/2020;602.0
02/23/2020;575.0
02/23/2020;526.0
02/23/2020;480.0
02/23/2020;399.0
02/23/2020;335.0
02/23/2020;311.0
02/23/2020;293.0
02/23/2020;249.0
02/23/2020;245.0
02/23/2020;174.0
02/23/2020;168.0
02/23/2020;155.0
02/23/2020;147.0
02/23/2020;146.0
02/23/2020;135.0
02/23/2020;132.0
02/23/2020;121.0
02/23/2020;91.0
02/23/2020;91.0
02/23/2020;89.0
02/23/2020;76.0
02/23/2020;75.0
02/23/2020;74.0
02/23/2020;71.0
02/23/2020;43.0
02/23/2020;35.0
02/23/2020;28.0
02/23/2020;22.0
02/23/2020;18.0
02/23/2020;16.0
02/23/2020;16.0
02/23/2020;13.0
02/23/2020;12.0
02/23/2020;11.0
02/23/2020;10.0
02/23/2020;9.0
02/23/2020;7.0
02/23/2020;6.0
02/23/2020;5.0
02/23/2020;5.0
02/23/2020;4.0
02/23/2020;4.0
02/23/2020;3.0
02/23/2020;3.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;2.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;1.0
02/23/2020;0.0
02/24/2020;64287.0
02/24/2020;1345.0
02/24/2020;1271.0
02/24/2020;1205.0
02/24/2020;1016.0
02/24/2020;989.0
02/24/2020;934.0
02/24/2020;833.0
02/24/2020;755.0
02/24/2020;691.0
02/24/2020;631.0
02/24/2020;576.0
02/24/2020;527.0
02/24/2020;480.0
02/24/2020;399.0
02/24/2020;335.0
02/24/2020;311.0
02/24/2020;293.0
02/24/2020;251.0
02/24/2020;245.0
02/24/2020;229.0
02/24/2020;174.0
02/24/2020;168.0
02/24/2020;159.0
02/24/2020;146.0
02/24/2020;135.0
02/24/2020;133.0
02/24/2020;121.0
02/24/2020;93.0
02/24/2020;91.0
02/24/2020;89.0
02/24/2020;79.0
02/24/2020;76.0
02/24/2020;75.0
02/24/2020;71.0
02/24/2020;61.0
02/24/2020;36.0
02/24/2020;35.0
02/24/2020;30.0
02/24/2020;22.0
02/24/2020;18.0
02/24/2020;16.0
02/24/2020;16.0
02/24/2020;13.0
02/24/2020;13.0
02/24/2020;12.0
02/24/2020;10.0
02/24/2020;7.0
02/24/2020;6.0
02/24/2020;5.0
02/24/2020;4.0
02/24/2020;4.0
02/24/2020;3.0
02/24/2020;3.0
02/24/2020;3.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;2.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;1.0
02/24/2020;0.0
02/24/2020;0.0
02/24/2020;0.0
02/25/2020;64786.0
02/25/2020;1347.0
02/25/2020;1271.0
02/25/2020;1205.0
02/25/2020;1016.0
02/25/2020;989.0
02/25/2020;977.0
02/25/2020;934.0
02/25/2020;756.0
02/25/2020;691.0
02/25/2020;631.0
02/25/2020;576.0
02/25/2020;529.0
02/25/2020;480.0
02/25/2020;400.0
02/25/2020;336.0
02/25/2020;322.0
02/25/2020;311.0
02/25/2020;294.0
02/25/2020;252.0
02/25/2020;245.0
02/25/2020;174.0
02/25/2020;170.0
02/25/2020;168.0
02/25/2020;146.0
02/25/2020;135.0
02/25/2020;133.0
02/25/2020;121.0
02/25/2020;95.0
02/25/2020;93.0
02/25/2020;91.0
02/25/2020;91.0
02/25/2020;84.0
02/25/2020;76.0
02/25/2020;75.0
02/25/2020;71.0
02/25/2020;37.0
02/25/2020;36.0
02/25/2020;31.0
02/25/2020;23.0
02/25/2020;22.0
02/25/2020;18.0
02/25/2020;17.0
02/25/2020;16.0
02/25/2020;14.0
02/25/2020;13.0
02/25/2020;13.0
02/25/2020;11.0
02/25/2020;10.0
02/25/2020;7.0
02/25/2020;7.0
02/25/2020;6.0
02/25/2020;5.0
02/25/2020;4.0
02/25/2020;4.0
02/25/2020;3.0
02/25/2020;3.0
02/25/2020;3.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;2.0
02/25/2020;1.0
